Sample_Name	NC_020645.1	NC_006853.1	NC_006295.1	NC_002008.4	KR866125.1	NC_008066.1	NC_001640.1	KX964606.1	NC_001700.1	NC_005033.1	NC_012920.1	KR816507.1	NC_069637.1	NC_025316.1	NC_018367.1	MN400429.1	NC_004069.1	NC_020637.1	NC_035866.1	NC_013700.1	NC_001913.1	NC_036369.1	NC_026063.1	NC_029403.1	NC_012389.1	NC_011638.1	NC_014861.1	NC_021478.1	NC_026124.1	NC_039104.1	NC_012095.1	NC_026529.1	NC_008434.1
SRR23971525	33	2	0	330	2	0	0	49	417	0	44	20	1	0	2	0	84	0	58	1007	1117	3	31	1	3	12	3	84	0	1	24	89	70
SRR23971526	4	1	0	255	0	0	0	53	473	1	127	19	1	9	0	0	7	0	42	426	3264	4	11	0	29	40	25	93	0	0	9	19	29
SRR23971527	5	2	0	158	1	0	0	2	63	0	15	28	1	2	0	0	2	0	51	127	63	0	0	6	0	0	0	24	0	0	2	7	7
SRR23971528	3	100	2	256	0	0	0	4	665	0	273	5	1	4	1	0	5	1	85	294	1152	2	9	2	8	30	9	79	1	0	6	12	7
SRR23971529	202	0	0	57	1	0	0	15	2	1	116	7	1	33	1	1	8	0	4	1131	74	0	1	13	0	0	0	86	0	0	5	11	132
SRR23971530	521	2	0	1921	3	0	0	5	0	0	50	11	0	119	5	114	46	0	0	3028	126	4	1	16	0	0	0	404	1	3	17	0	39
SRR23971531	2	0	0	3	0	0	0	0	0	0	2	1	0	4	0	0	1	0	0	17	0	0	0	0	0	0	0	13	0	0	0	0	0
SRR23971532	30	0	0	1	1	0	0	2	0	0	2	1	0	4	3	2	0	0	3	276	5	0	3	2	0	1	0	52	0	1	1	0	48
SRR23971533	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971534	3	1	0	18	0	0	0	20	0	0	8	3	0	2	0	1	6	0	0	55	24	0	0	0	0	1	0	180	0	0	3	0	0
SRR23971535	31	0	0	7	0	0	0	0	0	0	11	1	0	2	0	0	13	0	0	57	5	0	0	0	0	2	0	4	0	0	70	0	4
SRR23971536	21	0	0	23	0	0	0	0	0	0	5	1	0	7	0	310	28	0	0	334	8	0	0	1	0	0	0	16	0	1	0	0	1
SRR23971537	14	0	0	8	0	0	0	1	3	0	9	3	0	4	0	3	13	0	1	59	6	0	2	2	0	3	0	17	0	0	2	0	5
SRR23971538	32	0	0	33	1	0	0	0	0	0	19	0	0	341	0	1	40	0	0	1028	7	0	4	3	0	0	0	11	0	0	1	0	3
SRR23971539	23	0	0	5	0	0	0	6	0	0	33	0	0	2	1	0	0	0	1	52	16	0	0	1	0	6	0	13	0	0	5	0	24
SRR23971540	1	0	0	41	1	0	0	8	0	0	43	3	0	16	0	0	12	0	1	55	169	0	5	2	0	136	1	32	0	0	28	0	0
