Species	Common name	Class	Date	Spearman correlation (total reads)	P-value (total reads)	Spearman correlation (mapped reads)	P-value (mapped reads)	Positive samples	Read count	Category	boot_95_min	boot_mean	boot_95_max	Adjusted P-value (total reads)	Adjusted P-value (mapped reads)
Arctonyx collaris	greater hog badger	Mammalia	12-Jan-2020	-0.0751678136740124	0.5362779599734248	-0.0934613845525553	0.4415603018547916	18	1442	Observed Xiao 2021	-0.2201376778994095	-0.0747091097523354	0.1499218460005145	0.6368300774684419	0.6032965428018638
Rattus tanezumi	Oriental house rat	Mammalia	12-Jan-2020	0.0658463973451022	0.5881083656245657	0.0631974043484601	0.60323993542282	25	5215	Other	-0.1677669436094999	0.0621700219737363	0.324984023279941	0.6572975851098087	0.6738022099383641
Lepus sinensis	Chinese hare	Mammalia	12-Jan-2020	0.0472332299625383	0.697806707808932	0.0194294192762751	0.8731597481920417	26	2231	Observed Xiao 2021	-0.161293806093179	0.0471553779415345	0.3225305439430567	0.7365737471316505	0.8731597481920417
Nyctereutes procyonoides	raccoon dog	Mammalia	12-Jan-2020	-0.0310843158784159	0.7983763159944938	-0.0587835715967701	0.6288249052924841	51	40950	Observed Xiao 2021	-0.2335600999241703	-0.0291558237587842	0.1995535702270817	0.7983763159944938	0.6738022099383641
Gallus gallus	chicken	Aves	12-Jan-2020	0.1747447452105589	0.1479380420185033	0.0375946306218261	0.757332936268315	64	335262	Other	0.0416610891898395	0.1690638691532063	0.3047850955411831		
Anas poecilorhyncha	Indian spot-billed duck	Aves	12-Jan-2020	0.0047633250165211	0.9687823837023408	-0.0121248273147811	0.9206454961078242	60	56541	Other	-0.1907797548767097	-0.0017593981503775	0.2201075642072414		
Columba livia	rock pigeon	Aves	12-Jan-2020	-0.11398798913842	0.3474293229126484	-0.1092029948416252	0.3681723670638461	54	22383	Other	-0.2930858605555688	-0.1108991767705537	0.0777541307104436		
Phasianus colchicus	Ring-necked pheasant	Aves	12-Jan-2020	-0.0026934887295114	0.9823445655062936	0.0089540301008083	0.9413546521135856	51	18853	Observed Xiao 2021	-0.2295527062043059	-0.0102084008157283	0.2196923132948373		
Ptyas mucosa	Dhaman	Lepidosauria	12-Jan-2020	0.1687160120458298	0.1626559866097697	0.144954351479921	0.2311998325648399	27	12304	Observed Xiao 2021	-0.1065384025393842	0.1661725602270592	0.3949881436638435		
Streptopelia orientalis	eastern turtle dove	Aves	12-Jan-2020	-0.0643436959189753	0.5966710686432696	-0.0681352439282032	0.5751739173626061	40	11404	Other	-0.228270657241999	-0.0645065361468614	0.1005421753419702		
Coturnix japonica	Japanese quail	Aves	12-Jan-2020	-0.1835834482827095	0.1281909055121964	-0.1835834482827095	0.1281909055121964	19	11598	Other	-0.2688528081965342	-0.1791042516622171	-0.0966673127659401		
Siniperca knerii	big-eye mandarin fish	Actinopteri	12-Jan-2020	-0.0752391763706492	0.5358900016170549	-0.0752391763706492	0.5358900016170549	4	80	Aquatic animals	-0.12444764996283	-0.0740097720901849	-0.0333626051817628		
Gallinula chloropus	common moorhen	Aves	12-Jan-2020	-0.0888766056092284	0.464378670004	-0.1343850849836055	0.267369049962136	26	11517	Other	-0.2705859572768219	-0.0847140957436396	0.1921194080703615		
Blattella germanica	German cockroach	Insecta	12-Jan-2020	0.0592891825629335	0.6258711354289623	0.0592891825629335	0.6258711354289623	9	63102	Other	-0.143468031398371	0.0573586570738533	0.3677662632003229		
Anser albifrons	White-fronted goose	Aves	12-Jan-2020	-0.1960380253839153	0.1038510332170996	-0.1960380253839153	0.1038510332170996	21	3106	Other	-0.2843586673931766	-0.1915544249607816	-0.1048702502334117		
