Virus_full_name,Virus_short,Virus_shorter
"NC_026426.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene, complete cds",Influenza A virus (A/Shanghai/02/2013(H7N9)),"Influenza A virus H7N9, segment 5"
NC_038922.1 Avian sarcoma virus CT10 genomic sequence,Avian sarcoma virus CT10,Avian sarcoma virus CT10
"NC_001618.1 UR2 sarcoma virus, complete genome",UR2 sarcoma virus,UR2 sarcoma virus
"NC_002654.2 Helicoverpa armigera nucleopolyhedrovirus G4, complete genome",Helicoverpa armigera nucleopolyhedrovirus G4,Helicoverpa armigera nucleopolyhedrovirus G4
"NC_018401.1 Gyrovirus 4, complete genome",Gyrovirus 4,Gyrovirus 4
"NC_022789.1 Gyrovirus Tu789, complete genome",Gyrovirus Tu789,Gyrovirus Tu789
"NC_028459.1 Human associated gemyvongvirus 1 isolate DB1, complete genome",Human associated gemyvongvirus 1 isolate DB1,Human associated gemyvongvirus 1
"NC_032965.1 Hubei tombus-like virus 2 strain WHSFII19265 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds",Hubei tombus-like virus 2 strain WHSFII19265,Hubei tombus-like virus 2
"NC_040594.1 Picalivirus A isolate PicaV-A, complete genome",Picalivirus A isolate PicaV-A,Picalivirus A isolate PicaV-A
"NC_003027.1 Lumpy skin disease virus NI-2490, complete genome",Lumpy skin disease virus NI-2490,Lumpy skin disease virus NI-2490
NC_006383.2 Peste des petits ruminants virus complete genome,Peste des petits ruminants virus,Peste des petits ruminants virus
"OM451208.1 MAG: Murine orthopneumovirus isolate ZJ-MO3 non-structural protein 1, non-structural protein 2, nucleocapsid protein, phosphoprotein, matrix protein, attachment glycoprotein, fusion protein, M2-1, M2-2, and polymerase subunit genes, complete cds",Murine orthopneumovirus isolate ZJ-MO3,Murine orthopneumovirus
"NC_004442.1 Canine minute virus, complete genome",Canine minute virus,Canine minute virus
"NC_021472.1 Felis catus papillomavirus-3, complete genome",Felis catus papillomavirus-3,Felis catus papillomavirus 3
"NC_022373.1 Felis catus papillomavirus 4 isolate MY-3, complete genome",Felis catus papillomavirus 4 isolate MY-3,Felis catus papillomavirus 4
"NC_002306.3 Feline infectious peritonitis virus, complete genome",NA,NA
"NC_022249.1 Feline astrovirus 2 strain 1637F, complete genome",Feline astrovirus 2 strain 1637F,Feline astrovirus 2
"NC_005889.1 Bovine adeno-associated virus, complete genome",Bovine adeno-associated virus,Bovine adeno-associated virus
"NC_022104.1 Porcine partetravirus strain FMV10-1437266, complete genome",Porcine partetravirus strain FMV10-1437266,Porcine partetravirus
"NC_023860.1 Porcine parvovirus 6 isolate TJ, complete genome",Porcine parvovirus 6 isolate TJ,Porcine parvovirus 6
"NC_038538.1 Porcine bocavirus H18, partial genome",Porcine bocavirus H18,Porcine bocavirus H18
"NC_040562.1 Porcine parvovirus 7 isolate GX49, complete genome",Porcine parvovirus 7 isolate GX49,Porcine parvovirus 7
"NC_022787.1 Porcine torovirus strain SH1, complete genome",Porcine torovirus strain SH1,Porcine torovirus
"NC_038861.1 Transmissible gastroenteritis virus complete genome, genomic RNA",Transmissible gastroenteritis virus,Transmissible gastroenteritis virus
"NC_039208.1 Porcine coronavirus HKU15 strain HKU15-155, complete genome",Porcine coronavirus HKU15 strain HKU15-155,Porcine coronavirus HKU15
"NC_001543.1 Rabbit hemorrhagic disease virus-FRG, complete genome",Rabbit hemorrhagic disease virus-FRG,Rabbit hemorrhagic disease virus-FRG
"NC_017083.1 Rabbit coronavirus HKU14, complete genome",Rabbit coronavirus HKU14,Rabbit coronavirus HKU14
