Lab.code,Sample.ID,Sequencing_Run,Sampling.date,Sample_location,Street.No.,Vendor.No.,edge_case,Stall_corrected,address,Stall_corrected_merged,Sample.type,Sample.information,SARS.CoV.2.qPCR.result,Precise.location,FromHSM
WS-SF3,Env_0726,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-XL1,Env_0727,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-XL2,Env_0728,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-XL3,Env_0729,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-KJ1,Env_0730,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-KJ2,Env_0731,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-KJ3,Env_0732,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HXJMHL-1-1,Env_0767,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HXJMHL-1-2,Env_0768,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HXJMHL-1-3,Env_0769,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
JXRJ-1-1,Env_0770,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
JXRJ-1-2,Env_0771,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
JXRJ-1-3,Env_0772,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HGXQ-1-1,Env_0773,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HGXQ-1-2,Env_0774,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HGXQ-1-3,Env_0775,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
JSYY-1-1,Env_0776,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
JSYY-1-2,Env_0777,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
JSYY-1-3,Env_0778,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
YGSQ-1-1,Env_0779,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
YGSQ-1-2,Env_0780,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
YGSQ-1-3,Env_0781,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HHXQ-1-1,Env_0782,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HHXQ-1-2,Env_0783,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HHXQ-1-3,Env_0784,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
FQXQ-1-1,Env_0785,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
FQXQ-1-2,Env_0786,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
FQXQ-1-3,Env_0787,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
CSSQ-1-1,Env_0788,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
CSSQ-1-2,Env_0789,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
CSSQ-1-3,Env_0790,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Positive,0,FALSE
HXL-1-1,Env_0791,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HXL-1-2,Env_0792,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HXL-1-3,Env_0793,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HYXQ-1-1,Env_0794,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HYXQ-1-2,Env_0795,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HYXQ-1-3,Env_0796,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
YCHC2-1-1,Env_0797,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Positive,0,FALSE
YCHC2-1-2,Env_0798,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
YCHC2-1-3,Env_0799,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HXJC4-1-1,Env_0800,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HXJC4-1-2,Env_0801,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HXJC4-1-3,Env_0802,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Positive,0,FALSE
HKCQ-1-1,Env_0803,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HKCQ-1-2,Env_0804,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
HKCQ-1-3,Env_0805,,2020-02-09,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
